artist,song,week_number,chart_rank,date
"Tippin, Aaron",Kiss This,2,72.0,2000-09-02
SheDaisy,I Will.. But,2,74.0,2000-07-22
"Raye, Collin",Couldn't Last A Moment,2,85.0,2000-03-25
Black Rob,Whoa!,2,59.0,2000-03-11
"Jackson, Alan",Pop A Top,2,73.0,1999-11-20
"Black, Clint",Been There,2,73.0,2000-02-26
Common,The Light,2,55.0,2000-08-12
"Vassar, Phil",Carlene,2,67.0,2000-03-11
"Jackson, Alan",www.memory,2,59.0,2000-11-11
Vitamin C,The Itch,2,48.0,2000-12-09
"Eastsidaz, The",G'D Up,2,77.0,2000-01-15
Ideal,Whatever,2,75.0,2000-06-17
"Thomas, Carl",Emotional,2,63.0,2000-12-02
Ginuwine,None Of Ur Friends Business,2,84.0,1999-12-18
"Davidson, Clay",Unconditional,2,97.0,2000-04-01
DMX,What You Want,2,95.0,2000-07-08
"John, Elton",Someday Out Of The Blue,2,56.0,2000-04-29
Pearl Jam,Nothing As It Seems,2,70.0,2000-05-20
Mya,The Best Of Me,2,70.0,2000-04-22
"Heatherly, Eric",Flowers On The Wall,2,88.0,2000-05-06
Eminem,Stan,2,67.0,2000-11-11
"McEntire, Reba",I'll Be,2,79.0,2000-05-20
"Lopez, Jennifer",Feelin' Good,2,79.0,2000-02-26
"Urban, Keith",Your Everything,2,80.0,2000-07-22
TLC,Dear Lie,2,55.0,2000-02-19
"Gill, Vince",Feels Like Love,2,76.0,2000-09-09
"Houston, Whitney",Could I Have This Kiss Forever,2,68.0,2000-06-24
Bloodhound Gang,The Bad Touch,2,62.0,2000-03-25
"Williams, Robbie",Angels,2,77.0,1999-11-27
"Messina, Jo Dee",Because You Love Me,2,78.0,2000-02-05
"Keith, Toby",Country Comes To Town,2,78.0,2000-08-12
Beenie Man,Girls Dem Sugar,2,72.0,2000-10-28
"Hill, Faith",Let's Make Love,2,83.0,2000-08-19
Kelis,Caught Out There,2,68.0,1999-12-11
Jay-Z,Anything,2,58.0,2000-03-04
3 Doors Down,Loser,2,76.0,2000-10-28
Brooks & Dunn,You'll Always Be Loved By Me,2,85.0,2000-06-17
"Chesney, Kenny",What I Need To Do,2,74.0,2000-04-08
"Stone, Angie",No More Rain (In This Cloud),2,86.0,2000-01-01
Da Brat,That's What I'm Looking For,2,73.0,2000-03-04
SheDaisy,This Woman Needs,2,70.0,2000-02-12
Papa Roach,Last Resort,2,71.0,2000-08-05
"Adams, Yolanda",Open My Heart,2,76.0,2000-09-02
Shyne,Bad Boyz,2,87.0,2000-09-16
R.E.M.,The Great Beyond,2,79.0,2000-01-01
"Diffie, Joe",It's Always Somethin',2,78.0,2000-08-19
"McGraw, Tim",Some Things Never Change,2,66.0,2000-05-20
"Henley, Don",Taking You Home,2,77.0,2000-07-01
Eminem,The Way I Am,2,74.0,2000-09-02
Nas,You Owe Me,2,72.0,2000-04-01
Sister Hazel,Change Your Mind,2,67.0,2000-07-22
Puff Daddy,Best Friend,2,59.0,2000-02-19
"McBride, Martina",There You Are,2,75.0,2000-09-16
Usher,Pop Ya Collar,2,64.0,2000-11-11
Lil' Kim,No Matter What They Say,2,72.0,2000-07-22
LFO,I Don't Wanna Kiss You Goodnight,2,61.0,2000-04-22
SheDaisy,Deck The Halls,2,61.0,2000-01-01
Splender,I Think God Can Explain,2,66.0,2000-06-17
"Simpson, Jessica",Where You Are,2,66.0,2000-04-08
M2M,Mirror Mirror,2,87.0,2000-04-08
Kumbia Kings,U Don't Love Me,2,64.0,2000-03-11
Joe,Treat Her Like A Lady,2,75.0,2000-08-12
"Blige, Mary J.",Deep Inside,2,80.0,1999-11-20
"Price, Kelly",You Should've Told Me,2,91.0,2000-09-30
Changing Faces,That Other Woman,2,72.0,2000-10-07
"Wright, Chely",It Was,2,78.0,2000-03-11
Limp Bizkit,Rollin',2,73.0,2000-11-18
Hot Boys,I Need A Hot Girl,2,75.0,2000-02-26
Jay-Z,Do It Again (Put Ya Hands Up),2,68.0,2000-01-22
"Adkins, Trace",More,2,84.0,2000-05-06
"Dixie Chicks, The",Cold Day In July,2,79.0,2000-07-01
"Price, Kelly",As We Lay,2,69.0,2000-07-22
DMX,What's My Name,2,76.0,2000-01-22
"Martin, Ricky",Private Emotion,2,67.0,2000-03-18
Nine Days,If I Am,2,68.0,2000-12-09
"Blige, Mary J.",Give Me You,2,94.0,2000-04-22
Red Hot Chili Peppers,Californication,2,72.0,2000-08-05
Third Eye Blind,Deep Inside Of You,2,73.0,2000-09-09
"Brooks, Garth",Do What You Gotta Do,2,81.0,2000-02-26
"Offspring, The",Original Prankster,2,71.0,2000-12-02
"Anthony, Marc",My Baby You,2,76.0,2000-09-23
"Houston, Whitney","Same Script, Different Cast",2,71.0,2000-06-24
D'Angelo,Left & Right,2,77.0,1999-12-18
"Kravitz, Lenny",I Belong To You,2,77.0,2000-04-01
"Loveless, Patty",That's The Kind Of Mood I'm In,2,93.0,2000-09-23
Q-Tip,Breathe And Stop,2,71.0,2000-01-29
"Rimes, LeAnn",Can't Fight The Moonlight,2,71.0,2000-09-16
Lil Wayne,Tha Block Is Hot,2,89.0,1999-12-11
2 Pac,Baby Don't Cry (Keep Ya Head Up II),2,82.0,2000-03-04
"Wallflowers, The",Sleepwalker,2,73.0,2000-11-04
Drama,"Left, Right, Left",2,98.0,2000-02-19
Limp Bizkit,N 2 Gether Now,2,88.0,1999-12-11
Lox,"Ryde or Die, Chick",2,73.0,2000-03-25
Ying Yang Twins,Whistle While You Twurk,2,94.0,2000-03-25
"Walker, Clay","Live, Laugh, Love",2,95.0,1999-12-11
Metallica,No Leaf Clover (Live),2,81.0,2000-02-19
Yankee Grey,Another Nine Minutes,2,83.0,2000-05-06
"Bega, Lou",Tricky Tricky ,2,74.0,2000-02-05
Big Punisher,It's So Hard,2,87.0,2000-04-29
"Worley, Darryl",When You Need My Love,2,88.0,2000-06-24
Lil' Kim,How Many Licks?,2,75.0,2000-12-02
"Clark, Terri",A Little Gasoline,2,82.0,2000-12-23
"Brock, Chad",A Country Boy Can Survive,2,75.0,2000-01-08
"Cagle, Chris",My Love Goes On And On,2,94.0,2000-10-28
"Byrd, Tracy",Put Your Hand In Mine,2,77.0,2000-02-05
Metallica,I Disappear,2,84.0,2000-05-20
Jay-Z,Hey Papi,2,100.0,2000-08-19
Fatboy Slim,The Rockafeller Skank,2,94.0,1999-11-20
"Levert, Gerald",Mr. Too Damn Good,2,83.0,2000-03-25
"McKnight, Brian",Stay Or Let It Go,2,92.0,2000-03-04
"Allan, Gary",Smoke Rings In The Dark,2,78.0,2000-01-29
Ginuwine,The Best Man I Can Be,2,97.0,2000-01-15
Before Dark,Monica,2,87.0,2000-05-27
Stone Temple Pilots,Sour Girl,2,79.0,2000-07-15
Montgomery Gentry,Daddy Won't Sell The Farm,2,83.0,2000-03-11
"Cyrus, Billy Ray",You Won't Be Lonely Now,2,97.0,2000-09-30
Clark Family Experience,Meanwhile Back At The Ranch,2,86.0,2000-11-25
"Thomas, Carl",Summer Rain,2,82.0,2000-09-30
"Yearwood, Trisha",Real Live Woman,2,83.0,2000-04-08
Trick Daddy,Shut Up,2,95.0,2000-05-27
"Moore, Chante",Straight Up,2,98.0,2000-11-04
Cam'ron,What Means The World To You,2,94.0,2000-10-21
Juvenile,U Understand,2,83.0,2000-02-12
"Hollister, Dave",Can't Stay,2,84.0,2000-04-01
Tamia,Can't Go For That,2,86.0,2000-09-23
LFO,West Side Story,2,84.0,2000-08-12
"Paisley, Brad",Me Neither,2,85.0,2000-05-20
"Carter, Torrey",Take That,2,88.0,2000-07-01
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),2,87.0,2000-09-09
Madison Avenue,Don't Call Me Baby,2,96.0,2000-07-15
Eve,Got It All,2,88.0,2000-07-22
Limp Bizkit,Re-Arranged,2,91.0,1999-12-11
"Spencer, Tracie",Still In My Heart,2,88.0,2000-03-11
Nu Flavor,3 Little Words,2,97.0,2000-06-10
Tamar,If You Don't Wanna Love Me,2,98.0,2000-04-01
"Levert, Gerald",Baby U Are,2,89.0,2000-08-26
"Hart, Beth",L.A. Song,2,100.0,1999-12-04
"Diffie, Joe",The Quittin' Kind,2,100.0,2000-01-08
Funkmaster Flex,Do You,2,92.0,2000-11-18
"Price, Kelly",Love Sets You Free,2,91.0,2000-05-20
En Vogue,Riddle,2,92.0,2000-06-24
"Herndon, Ty",No Mercy,2,99.0,2000-03-25
Trina,Pull Over,2,93.0,2000-09-16
Lil' Mo,Ta Da,2,99.0,2000-08-19
A*Teens,Dancing Queen,2,97.0,2000-07-15
"Sheist, Shade",Where I Wanna Be,2,95.0,2000-11-18
De La Soul,All Good?,2,96.0,2000-12-30
"Larrieux, Amel",Get Up,2,97.0,2000-03-11
"Braxton, Toni",Spanish Guitar,2,98.0,2000-12-09
Tuesday,I Know,2,98.0,2001-01-06
LL Cool J,Imagine That,2,98.0,2000-08-19
"Smith, Will",Freakin' It,2,99.0,2000-02-19
Zombie Nation,Kernkraft 400,2,99.0,2000-09-09
"Eastsidaz, The",Got Beef,2,99.0,2000-07-08
Destiny's Child,Independent Women Part I,3,49.0,2000-10-07
Santana,"Maria, Maria",3,6.0,2000-02-26
Savage Garden,I Knew I Loved You,3,43.0,1999-11-06
Madonna,Music,3,18.0,2000-08-26
"Aguilera, Christina",Come On Over Baby (All I Want Is You),3,45.0,2000-08-19
Janet,Doesn't Really Matter,3,43.0,2000-07-01
Destiny's Child,Say My Name,3,44.0,2000-01-08
"Iglesias, Enrique",Be With You,3,34.0,2000-04-15
Sisqo,Incomplete,3,61.0,2000-07-08
Lonestar,Amazed,3,44.0,1999-06-19
N'Sync,It's Gonna Be Me,3,51.0,2000-05-20
"Aguilera, Christina",What A Girl Wants,3,28.0,1999-12-11
Vertical Horizon,Everything You Want,3,53.0,2000-02-05
Creed,With Arms Wide Open,3,76.0,2000-05-27
Aaliyah,Try Again,3,38.0,2000-04-01
matchbox twenty,Bent,3,29.0,2000-05-13
"Carey, Mariah",Thank God I Found You,3,50.0,1999-12-25
"Hill, Faith",Breathe,3,62.0,1999-11-20
Mya,Case Of The Ex (Whatcha Gonna Do),3,52.0,2000-09-02
Dream,He Loves U Not,3,81.0,2000-10-14
"Braxton, Toni",He Wasn't Man Enough,3,48.0,2000-04-01
"Anthony, Marc",You Sang To Me,3,50.0,2000-03-11
98¡,Give Me Just One Night (Una Noche),3,34.0,2000-09-02
Destiny's Child,Jumpin' Jumpin',3,65.0,2000-05-27
3 Doors Down,Kryptonite,3,68.0,2000-04-22
Sisqo,Thong Song,3,35.0,2000-02-12
"Aguilera, Christina",I Turn To You,3,30.0,2000-04-29
"Houston, Whitney",My Love Is Your Love,3,44.0,1999-09-18
Joe,I Wanna Know,3,69.0,2000-01-15
"Jordan, Montell",Get It On.. Tonite,3,72.0,1999-11-06
N'Sync,Bye Bye Bye,3,19.0,2000-02-12
Eminem,The Real Slim Shady,3,20.0,2000-05-20
Pink,Most Girls,3,52.0,2000-08-26
"Mumba, Samantha",Gotta Tell You,3,65.0,2000-09-23
Blaque,Bring It All To Me,3,50.0,1999-11-06
"Elliott, Missy ""Misdemeanor""",Hot Boyz,3,13.0,1999-12-11
"Gray, Macy",I Try,3,47.0,2000-03-04
N'Sync,This I Promise You,3,19.0,2000-10-14
Ruff Endz,No More,3,19.0,2000-07-15
"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,3,55.0,2000-01-15
Nine Days,Absolutely (Story Of A Girl),3,59.0,2000-05-20
"Dion, Celine",That's The Way It Is,3,65.0,1999-11-27
Blink-182,All The Small Things,3,69.0,1999-12-18
Eiffel 65,Blue (Da Ba Dee),3,16.0,1999-12-25
"Badu, Erkyah",Bag Lady,3,42.0,2000-09-02
Pink,There U Go,3,12.0,2000-03-18
Creed,Higher,3,73.0,1999-09-25
Nelly,(Hot S**t) Country Grammar,3,96.0,2000-05-13
Next,Wifey,3,46.0,2000-06-10
Kenny G,Auld Lang Syne (The Millenium Mix),3,7.0,2000-01-08
Sonique,It Feels So Good,3,30.0,2000-02-05
"Spears, Britney",Oops!.. I Did It Again,3,26.0,2000-05-06
"Backstreet Boys, The",Shape Of My Heart,3,24.0,2000-10-28
Everclear,Wonderful,3,53.0,2000-07-22
Ja Rule,Between Me And You,3,61.0,2000-09-30
"Rimes, LeAnn",I Need You,3,67.0,2000-06-10
Smash Mouth,Then The Morning Comes,3,56.0,1999-11-13
Jay-Z,I Just Wanna Love U (Give It 2 Me),3,35.0,2000-11-11
Jagged Edge,Let's Get Married,3,55.0,2000-05-20
Filter,Take A Picture,3,64.0,1999-12-11
"Martin, Ricky",She Bangs,3,21.0,2000-10-21
Mystikal,Shake Ya Ass,3,65.0,2000-08-26
BBMak,Back Here,3,60.0,2000-05-13
"Spears, Britney",From The Bottom Of My Broken Heart,3,52.0,2000-02-12
Third Eye Blind,Never Let You Go,3,25.0,2000-02-05
Red Hot Chili Peppers,Otherside,3,65.0,2000-02-26
Profyle,Liar,3,25.0,2000-09-30
Barenaked Ladies,Pinch Me,3,69.0,2000-09-23
Jagged Edge,He Can't Love U,3,17.0,1999-12-25
504 Boyz,Wobble Wobble,3,25.0,2000-04-29
Sting,Desert Rose,3,72.0,2000-05-27
Jay-Z,Big Pimpin',3,39.0,2000-05-06
Kid Rock,Only God Knows Why,3,46.0,2000-03-04
Foo Fighters,Learn To Fly,3,68.0,1999-10-30
"Dixie Chicks, The",Goodbye Earl,3,24.0,2000-04-01
Guy,Dancin',3,19.0,2000-01-01
Lil Bow Wow,Bounce With Me,3,24.0,2000-09-02
Westlife,Swear It Again,3,66.0,2000-04-15
Train,Meet Virginia,3,59.0,1999-10-23
"Thomas, Carl",I Wish,3,48.0,2000-04-08
Hanson,This Time Around,3,20.0,2000-05-06
"Simpson, Jessica",I Think I'm In Love With You,3,44.0,2000-07-15
Ludacris,What's Your Fantasy,3,63.0,2000-10-14
Lil' Zane,Callin' Me,3,57.0,2000-08-12
M2M,Don't Say You Love Me,3,62.0,1999-12-04
SoulDecision,Faded,3,81.0,2000-07-22
"Brock, Chad",Yes!,3,66.0,2000-04-22
"Martin, Ricky",Shake Your Bon-Bon,3,52.0,1999-12-04
Vertical Horizon,You're A God,3,43.0,2000-09-09
Avant,Separated,3,30.0,2000-05-13
"Rimes, LeAnn",Big Deal,3,51.0,1999-10-30
IMx,Stay The Night,3,45.0,1999-10-23
Dr. Dre,The Next Episode,3,58.0,2000-06-10
"Spears, Britney",Lucky,3,28.0,2000-08-26
Savage Garden,Crash And Burn,3,51.0,2000-04-22
Kandi,Don't Think I'm Not,3,66.0,2000-08-19
Sammie,I Like It,3,58.0,2000-02-12
Goo Goo Dolls,Broadway,3,53.0,2000-05-06
"Moore, Mandy",I Wanna Be With You,3,54.0,2000-07-01
Dr. Dre,Forgot About Dre,3,47.0,2000-02-05
D'Angelo,Untitled (How Does It Feel),3,35.0,2000-02-05
"Messina, Jo Dee",That's The Way,3,63.0,2000-07-08
Avant,My First Love,3,56.0,2000-11-18
Son By Four,A Puro Dolor (Purest Of Pain),3,80.0,2000-04-22
Da Brat,What'Chu Like,3,54.0,2000-06-17
DMX,Party Up (Up In Here),3,62.0,2000-03-11
"Dixie Chicks, The",Cowboy Take Me Away,3,70.0,1999-12-11
"McGraw, Tim",My Next Thirty Years,3,56.0,2000-11-04
"Tritt, Travis",Best Of Intentions,3,79.0,2000-09-02
Alice Deejay,Better Off Alone,3,53.0,2000-04-22
Hoku,Another Dumb Blonde,3,49.0,2000-03-04
"Houston, Whitney",I Learned From The Best,3,83.0,2000-03-04
Counting Crows,Hanginaround,3,66.0,1999-11-20
Mary Mary,Shackles (Praise You),3,72.0,2000-04-08
"Carey, Mariah",Crybaby,3,48.0,2000-07-08
"McGraw, Tim",My Best Friend,3,71.0,1999-12-11
Sugar Ray,Falls Apart,3,54.0,2000-01-29
Madonna,American Pie,3,29.0,2000-03-04
"Jones, Donell",Where I Wanna Be,3,65.0,2000-05-06
"Paisley, Brad",We Danced,3,52.0,2000-10-28
Lonestar,What About Now,3,66.0,2000-06-24
"Backstreet Boys, The",The One,3,43.0,2000-06-10
"Keith, Toby",How Do You Like Me Now?!,3,59.0,2000-02-12
"Strait, George",The Best Day,3,54.0,2000-02-12
"Dixie Chicks, The",Without You,3,63.0,2000-10-21
Musiq,Just Friends (Sunny),3,65.0,2000-10-28
"McEntire, Reba",What Do You Say,3,71.0,1999-11-13
"Braxton, Toni",Just Be A Man About It,3,51.0,2000-08-12
"Iglesias, Enrique",Rhythm Divine,3,79.0,1999-12-18
"Fabian, Lara",I Will Love Again,3,75.0,2000-06-24
Bon Jovi,It's My Life,3,51.0,2000-08-26
"Evans, Sara",Born To Fly,3,64.0,2000-11-04
"Chesney, Kenny",I Lost It,3,61.0,2000-11-04
J-Shin,One Night Stand,3,69.0,2000-01-08
Eve,Love Is Blind,3,57.0,2000-01-22
Aaliyah,I Don't Wanna,3,51.0,2000-02-12
"Montgomery, John Michael",The Little Girl,3,64.0,2000-09-23
"Carter, Aaron",Aaron's Party (Come Get It),3,57.0,2000-09-09
"Vassar, Phil",Just Another Day In Paradise,3,76.0,2000-10-14
Ice Cube,You Can Do It,3,50.0,1999-12-18
"Wills, Mark",Back At One,3,51.0,2000-01-29
Lucy Pearl,Dance Tonight,3,63.0,2000-06-03
"Jackson, Alan",It Must Be Love,3,68.0,2000-07-08
"Griggs, Andy",She's More,3,69.0,2000-03-25
No Doubt,Simple Kind Of Life,3,39.0,2000-07-15
"Jean, Wyclef",911,3,64.0,2000-10-21
Rascal Flatts,Prayin' For Daylight,3,72.0,2000-05-20
Vitamin C,Graduation (Friends Forever),3,54.0,2000-04-29
"Gilman, Billy",One Voice,3,82.0,2000-07-01
Lonestar,Smile,3,80.0,2000-01-01
"Rogers, Kenny",Buy Me A Rose,3,65.0,2000-03-25
"Lawrence, Tracy",Lessons Learned,3,61.0,2000-02-12
"Strait, George",Go On,3,63.0,2000-09-09
Sisqo,Got To Get It,3,73.0,1999-12-04
Baha Men,Who Let The Dogs Out,3,85.0,2000-08-05
"Walker, Clay",The Chain Of Love,3,57.0,2000-04-29
"McBride, Martina",Love's The Only House,3,65.0,2000-02-19
Amber,Sexual (Li Da Di),3,96.0,1999-07-31
"Tippin, Aaron",Kiss This,3,66.0,2000-09-09
SheDaisy,I Will.. But,3,70.0,2000-07-29
"Raye, Collin",Couldn't Last A Moment,3,75.0,2000-04-01
Black Rob,Whoa!,3,53.0,2000-03-18
"Jackson, Alan",Pop A Top,3,70.0,1999-11-27
"Black, Clint",Been There,3,62.0,2000-03-04
Common,The Light,3,53.0,2000-08-19
"Vassar, Phil",Carlene,3,64.0,2000-03-18
"Jackson, Alan",www.memory,3,59.0,2000-11-18
Vitamin C,The Itch,3,45.0,2000-12-16
"Eastsidaz, The",G'D Up,3,89.0,2000-01-22
Ideal,Whatever,3,67.0,2000-06-24
"Thomas, Carl",Emotional,3,61.0,2000-12-09
Ginuwine,None Of Ur Friends Business,3,71.0,1999-12-25
"Davidson, Clay",Unconditional,3,97.0,2000-04-08
DMX,What You Want,3,95.0,2000-07-15
"John, Elton",Someday Out Of The Blue,3,49.0,2000-05-06
Pearl Jam,Nothing As It Seems,3,84.0,2000-05-27
Mya,The Best Of Me,3,65.0,2000-04-29
"Heatherly, Eric",Flowers On The Wall,3,88.0,2000-05-13
Eminem,Stan,3,57.0,2000-11-18
"McEntire, Reba",I'll Be,3,79.0,2000-05-27
"Lopez, Jennifer",Feelin' Good,3,66.0,2000-03-04
"Urban, Keith",Your Everything,3,73.0,2000-07-29
TLC,Dear Lie,3,52.0,2000-02-26
"Gill, Vince",Feels Like Love,3,74.0,2000-09-16
"Houston, Whitney",Could I Have This Kiss Forever,3,68.0,2000-07-01
Bloodhound Gang,The Bad Touch,3,55.0,2000-04-01
"Williams, Robbie",Angels,3,69.0,1999-12-04
"Messina, Jo Dee",Because You Love Me,3,71.0,2000-02-12
"Keith, Toby",Country Comes To Town,3,75.0,2000-08-19
Beenie Man,Girls Dem Sugar,3,63.0,2000-11-04
"Hill, Faith",Let's Make Love,3,73.0,2000-08-26
Kelis,Caught Out There,3,67.0,1999-12-18
Jay-Z,Anything,3,55.0,2000-03-11
3 Doors Down,Loser,3,72.0,2000-11-04
Brooks & Dunn,You'll Always Be Loved By Me,3,85.0,2000-06-24
"Chesney, Kenny",What I Need To Do,3,68.0,2000-04-15
"Stone, Angie",No More Rain (In This Cloud),3,74.0,2000-01-08
Da Brat,That's What I'm Looking For,3,60.0,2000-03-11
SheDaisy,This Woman Needs,3,70.0,2000-02-19
Papa Roach,Last Resort,3,69.0,2000-08-12
"Adams, Yolanda",Open My Heart,3,74.0,2000-09-09
Shyne,Bad Boyz,3,90.0,2000-09-23
R.E.M.,The Great Beyond,3,70.0,2000-01-08
"Diffie, Joe",It's Always Somethin',3,67.0,2000-08-26
"McGraw, Tim",Some Things Never Change,3,66.0,2000-05-27
"Henley, Don",Taking You Home,3,74.0,2000-07-08
Eminem,The Way I Am,3,59.0,2000-09-09
Nas,You Owe Me,3,68.0,2000-04-08
Sister Hazel,Change Your Mind,3,66.0,2000-07-29
Puff Daddy,Best Friend,3,62.0,2000-02-26
"McBride, Martina",There You Are,3,75.0,2000-09-23
Usher,Pop Ya Collar,3,60.0,2000-11-18
Lil' Kim,No Matter What They Say,3,67.0,2000-07-29
LFO,I Don't Wanna Kiss You Goodnight,3,68.0,2000-04-29
Splender,I Think God Can Explain,3,62.0,2000-06-24
"Simpson, Jessica",Where You Are,3,62.0,2000-04-15
M2M,Mirror Mirror,3,94.0,2000-04-15
Kumbia Kings,U Don't Love Me,3,62.0,2000-03-18
Joe,Treat Her Like A Lady,3,63.0,2000-08-19
"Blige, Mary J.",Deep Inside,3,80.0,1999-11-27
"Price, Kelly",You Should've Told Me,3,91.0,2000-10-07
Changing Faces,That Other Woman,3,66.0,2000-10-14
"Wright, Chely",It Was,3,75.0,2000-03-18
Limp Bizkit,Rollin',3,72.0,2000-11-25
Hot Boys,I Need A Hot Girl,3,71.0,2000-03-04
Jay-Z,Do It Again (Put Ya Hands Up),3,65.0,2000-01-29
"Adkins, Trace",More,3,75.0,2000-05-13
"Dixie Chicks, The",Cold Day In July,3,76.0,2000-07-08
"Price, Kelly",As We Lay,3,69.0,2000-07-29
DMX,What's My Name,3,69.0,2000-01-29
"Martin, Ricky",Private Emotion,3,71.0,2000-03-25
Nine Days,If I Am,3,81.0,2000-12-16
"Blige, Mary J.",Give Me You,3,77.0,2000-04-29
Red Hot Chili Peppers,Californication,3,72.0,2000-08-12
Third Eye Blind,Deep Inside Of You,3,70.0,2000-09-16
"Brooks, Garth",Do What You Gotta Do,3,72.0,2000-03-04
"Offspring, The",Original Prankster,3,70.0,2000-12-09
"Anthony, Marc",My Baby You,3,76.0,2000-09-30
"Houston, Whitney","Same Script, Different Cast",3,71.0,2000-07-01
D'Angelo,Left & Right,3,75.0,1999-12-25
"Kravitz, Lenny",I Belong To You,3,71.0,2000-04-08
"Loveless, Patty",That's The Kind Of Mood I'm In,3,93.0,2000-09-30
Q-Tip,Breathe And Stop,3,81.0,2000-02-05
"Rimes, LeAnn",Can't Fight The Moonlight,3,79.0,2000-09-23
Lil Wayne,Tha Block Is Hot,3,92.0,1999-12-18
2 Pac,Baby Don't Cry (Keep Ya Head Up II),3,72.0,2000-03-11
"Wallflowers, The",Sleepwalker,3,74.0,2000-11-11
Drama,"Left, Right, Left",3,89.0,2000-02-26
Limp Bizkit,N 2 Gether Now,3,85.0,1999-12-18
Lox,"Ryde or Die, Chick",3,80.0,2000-04-01
Ying Yang Twins,Whistle While You Twurk,3,91.0,2000-04-01
"Walker, Clay","Live, Laugh, Love",3,94.0,1999-12-18
Metallica,No Leaf Clover (Live),3,78.0,2000-02-26
Yankee Grey,Another Nine Minutes,3,77.0,2000-05-13
"Bega, Lou",Tricky Tricky ,3,87.0,2000-02-12
Big Punisher,It's So Hard,3,75.0,2000-05-06
"Worley, Darryl",When You Need My Love,3,93.0,2000-07-01
Lil' Kim,How Many Licks?,3,77.0,2000-12-09
"Clark, Terri",A Little Gasoline,3,88.0,2000-12-30
"Brock, Chad",A Country Boy Can Survive,3,92.0,2000-01-15
"Cagle, Chris",My Love Goes On And On,3,94.0,2000-11-04
"Byrd, Tracy",Put Your Hand In Mine,3,76.0,2000-02-12
Metallica,I Disappear,3,88.0,2000-05-27
Jay-Z,Hey Papi,3,98.0,2000-08-26
Fatboy Slim,The Rockafeller Skank,3,94.0,1999-11-27
"Levert, Gerald",Mr. Too Damn Good,3,83.0,2000-04-01
"McKnight, Brian",Stay Or Let It Go,3,82.0,2000-03-11
"Allan, Gary",Smoke Rings In The Dark,3,76.0,2000-02-05
Ginuwine,The Best Man I Can Be,3,83.0,2000-01-22
Before Dark,Monica,3,80.0,2000-06-03
Stone Temple Pilots,Sour Girl,3,79.0,2000-07-22
Montgomery Gentry,Daddy Won't Sell The Farm,3,81.0,2000-03-18
"Cyrus, Billy Ray",You Won't Be Lonely Now,3,97.0,2000-10-07
Clark Family Experience,Meanwhile Back At The Ranch,3,81.0,2000-12-02
"Thomas, Carl",Summer Rain,3,86.0,2000-10-07
"Yearwood, Trisha",Real Live Woman,3,83.0,2000-04-15
Trick Daddy,Shut Up,3,87.0,2000-06-03
"Moore, Chante",Straight Up,3,97.0,2000-11-11
Cam'ron,What Means The World To You,3,96.0,2000-10-28
Juvenile,U Understand,3,100.0,2000-02-19
"Hollister, Dave",Can't Stay,3,93.0,2000-04-08
Tamia,Can't Go For That,3,84.0,2000-09-30
LFO,West Side Story,3,88.0,2000-08-19
"Paisley, Brad",Me Neither,3,90.0,2000-05-27
"Carter, Torrey",Take That,3,86.0,2000-07-08
2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),3,92.0,2000-09-16
Madison Avenue,Don't Call Me Baby,3,93.0,2000-07-22
Eve,Got It All,3,88.0,2000-07-29
Limp Bizkit,Re-Arranged,3,90.0,1999-12-18
"Spencer, Tracie",Still In My Heart,3,98.0,2000-03-18
Nu Flavor,3 Little Words,3,89.0,2000-06-17
Tamar,If You Don't Wanna Love Me,3,92.0,2000-04-08
"Levert, Gerald",Baby U Are,3,92.0,2000-09-02
"Hart, Beth",L.A. Song,3,98.0,1999-12-11
"Diffie, Joe",The Quittin' Kind,3,100.0,2000-01-15
Funkmaster Flex,Do You,3,95.0,2000-11-25
"Price, Kelly",Love Sets You Free,3,98.0,2000-05-27
En Vogue,Riddle,3,97.0,2000-07-01
"Herndon, Ty",No Mercy,3,99.0,2000-04-01
Trina,Pull Over,3,96.0,2000-09-23
Lil' Mo,Ta Da,3,97.0,2000-08-26
A*Teens,Dancing Queen,3,96.0,2000-07-22
"Sheist, Shade",Where I Wanna Be,3,99.0,2000-11-25
De La Soul,All Good?,3,100.0,2001-01-06
"Larrieux, Amel",Get Up,3,97.0,2000-03-18
"Braxton, Toni",Spanish Guitar,3,98.0,2000-12-16
"Smith, Will",Freakin' It,3,99.0,2000-02-26
Destiny's Child,Independent Women Part I,4,33.0,2000-10-14
Santana,"Maria, Maria",4,5.0,2000-03-04
Savage Garden,I Knew I Loved You,4,31.0,1999-11-13
Madonna,Music,4,14.0,2000-09-02
"Aguilera, Christina",Come On Over Baby (All I Want Is You),4,29.0,2000-08-26
Janet,Doesn't Really Matter,4,30.0,2000-07-08
Destiny's Child,Say My Name,4,38.0,2000-01-15
"Iglesias, Enrique",Be With You,4,23.0,2000-04-22
Sisqo,Incomplete,4,61.0,2000-07-15
Lonestar,Amazed,4,39.0,1999-06-26
N'Sync,It's Gonna Be Me,4,39.0,2000-05-27
"Aguilera, Christina",What A Girl Wants,4,18.0,1999-12-18
Vertical Horizon,Everything You Want,4,46.0,2000-02-12
